UF;IBGE;NOME_MUNICIPIO;ENTIDADE;Adesão
RS;430050;ALPESTRE;SECRETARIA MUNICIPAL DE SAUDE DE ALPESTRE/RS;Sim
RS;430050;ALPESTRE;;Não
PR;410045;ALTAMIRA DO PARANA;SECRETARIA MUNICIPAL DE SAUDE DE ALTAMIRA DO PARANA/PR;Sim
PR;410045;ALTAMIRA DO PARANÁ;;Não
RS;430055;ALTO ALEGRE;SECRETARIA MUNICIPAL DE SAUDE DE ALTO ALEGRE/RS;Sim
RS;430055;ALTO ALEGRE;;Não
SC;420075;ALTO BELA VISTA;SECRETARIA MUNICIPAL DE SAUDE DE ALTO BELA VISTA/SC;Sim
SC;420075;ALTO BELA VISTA;;Não
RS;430057;ALTO FELIZ;SECRETARIA MUNICIPAL DE SAUDE DE ALTO FELIZ/RS;Sim
RS;430057;ALTO FELIZ;;Não
PR;412862;ALTO PARAISO;SECRETARIA MUNICIPAL DE SAUDE DE ALTO PARAISO/PR;Sim
PR;412862;ALTO PARAÍSO;;Não
PR;410060;ALTO PARANA;SECRETARIA MUNICIPAL DE SAUDE DE ALTO PARANA/PR;Sim
PR;410060;ALTO PARANÁ;;Não
PR;410070;ALTO PIQUIRI;SECRETARIA MUNICIPAL DE SAUDE DE ALTO PIQUIRI/PR;Sim
PR;410070;ALTO PIQUIRI;;Não
PR;410050;ALTONIA;SECRETARIA MUNICIPAL DE SAUDE DE ALTONIA/PR;Sim
PR;410050;ALTÔNIA;;Não
RS;430060;ALVORADA;SECRETARIA MUNICIPAL DE SAUDE DE ALVORADA/RS;Sim
RS;430060;ALVORADA;;Não
PR;410080;ALVORADA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE ALVORADA DO SUL/PR;Sim
PR;410080;ALVORADA DO SUL;;Não
PR;410090;AMAPORA;SECRETARIA MUNICIPAL DE SAUDE DE AMAPORA/PR;Sim
PR;410090;AMAPORÃ;;Não
RS;430063;AMARAL FERRADOR;SECRETARIA MUNICIPAL DE SAUDE DE AMARAL FERRADOR/RS;Sim
RS;430063;AMARAL FERRADOR;;Não
RS;430064;AMETISTA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE AMETISTA DO SUL/RS;Sim
RS;430064;AMETISTA DO SUL;;Não
PR;410100;AMPERE;SECRETARIA MUNICIPAL DE SAUDE DE AMPERE/PR;Sim
PR;410100;AMPÉRE;;Não
PR;410105;ANAHY;SECRETARIA MUNICIPAL DE SAUDE DE ANAHY/PR;Sim
PR;410105;ANAHY;;Não
SC;420080;ANCHIETA;SECRETARIA MUNICIPAL DE SAUDE DE ANCHIETA/SC;Sim
SC;420080;ANCHIETA;;Não
PR;410110;ANDIRA;SECRETARIA MUNICIPAL DE SAUDE DE ANDIRA/PR;Sim
PR;410110;ANDIRÁ;;Não
RS;430066;ANDRE DA ROCHA;SECRETARIA MUNICIPAL DE SAUDE DE ANDRE DA ROCHA/RS;Sim
RS;430066;ANDRÉ DA ROCHA;;Não
SC;420090;ANGELINA;SECRETARIA MUNICIPAL DE SAUDE DE ANGELINA/SC;Sim
SC;420090;ANGELINA;;Não
PR;410115;ÂNGULO;;Não
SC;420100;ANITA GARIBALDI;SECRETARIA MUNICIPAL DE SAUDE DE ANITA GARIBALDI/SC;Sim
SC;420100;ANITA GARIBALDI;;Não
SC;420110;ANITAPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE ANITAPOLIS/SC;Sim
SC;420110;ANITÁPOLIS;;Não
RS;430070;ANTA GORDA;SECRETARIA MUNICIPAL DE SAUDE DE ANTA GORDA/RS;Sim
RS;430070;ANTA GORDA;;Não
PR;410120;ANTONINA;SECRETARIA MUNICIPAL DE SAUDE DE ANTONINA/PR;Sim
PR;410120;ANTONINA;;Não
SC;420120;ANTONIO CARLOS;SECRETARIA MUNICIPAL DE SAUDE DE ANTONIO CARLOS/SC;Sim
SC;420120;ANTÔNIO CARLOS;;Não
PR;410130;ANTONIO OLINTO;SECRETARIA MUNICIPAL DE SAUDE DE ANTONIO OLINTO/PR;Sim
PR;410130;ANTÔNIO OLINTO;;Não
RS;430080;ANTONIO PRADO;SECRETARIA MUNICIPAL DE SAUDE DE ANTONIO PRADO/RS;Sim
RS;430080;ANTÔNIO PRADO;;Não
SC;420125;APIUNA;SECRETARIA MUNICIPAL DE SAUDE DE APIUNA/SC;Sim
SC;420125;APIÚNA;;Não
PR;410140;APUCARANA;SECRETARIA MUNICIPAL DE SAUDE DE APUCARANA/PR;Sim
PR;410140;APUCARANA;;Não
SC;420127;ARABUTA;SECRETARIA MUNICIPAL DE SAUDE DE ARABUTA/SC;Sim
SC;420127;ARABUTÃ;;Não
RS;430085;ARAMBARE;SECRETARIA MUNICIPAL DE SAUDE DE ARAMBARE/RS;Sim
RS;430085;ARAMBARÉ;;Não
PR;410150;ARAPONGAS;SECRETARIA MUNICIPAL DE SAUDE DE ARAPONGAS/PR;Sim
PR;410150;ARAPONGAS;;Não
PR;410160;ARAPOTI;SECRETARIA MUNICIPAL DE SAUDE DE ARAPOTI/PR;Sim
PR;410160;ARAPOTI;;Não
PR;410165;ARAPUA;SECRETARIA MUNICIPAL DE SAUDE DE ARAPUA/PR;Sim
PR;410165;ARAPUÃ;;Não
SC;420130;ARAQUARI;SECRETARIA MUNICIPAL DE SAUDE DE ARAQUARI/SC;Sim
SC;420130;ARAQUARI;;Não
SC;420140;ARARANGUA;SECRETARIA MUNICIPAL DE SAUDE DE ARARANGUA/SC;Sim
SC;420140;ARARANGUÁ;;Não
RS;430087;ARARICA;SECRETARIA MUNICIPAL DE SAUDE DE ARARICA/RS;Sim
RS;430087;ARARICÁ;;Não
PR;410170;ARARUNA;SECRETARIA MUNICIPAL DE SAUDE DE ARARUNA/PR;Sim
PR;410170;ARARUNA;;Não
RS;430090;ARATIBA;SECRETARIA MUNICIPAL DE SAUDE DE ARATIBA/RS;Sim
RS;430090;ARATIBA;;Não
PR;410180;ARAUCARIA;SECRETARIA MUNICIPAL DE SAUDE DE ARAUCARIA/PR;Sim
PR;410180;ARAUCÁRIA;;Não
PR;410185;ARIRANHA DO IVAI;SECRETARIA MUNICIPAL DE SAUDE DE ARIRANHA DO IVAI/PR;Sim
PR;410185;ARIRANHA DO IVAÍ;;Não
SC;420150;ARMAZEM;SECRETARIA MUNICIPAL DE SAUDE DE ARMAZEM/SC;Sim
SC;420150;ARMAZÉM;;Não
RS;430100;ARROIO DO MEIO;SECRETARIA MUNICIPAL DE SAUDE DE ARROIO DO MEIO/RS;Sim
RS;430100;ARROIO DO MEIO;;Não
RS;430107;ARROIO DO PADRE;SECRETARIA MUNICIPAL DE SAUDE DE ARROIO DO PADRE/RS;Sim
RS;430107;ARROIO DO PADRE;;Não
RS;430105;ARROIO DO SAL;SECRETARIA MUNICIPAL DE SAUDE DE ARROIO DO SAL/RS;Sim
RS;430105;ARROIO DO SAL;;Não
RS;430120;ARROIO DO TIGRE;SECRETARIA MUNICIPAL DE SAUDE DE ARROIO DO TIGRE/RS;Sim
RS;430120;ARROIO DO TIGRE;;Não
RS;430110;ARROIO DOS RATOS;;Não
RS;430130;ARROIO GRANDE;SECRETARIA MUNICIPAL DE SAUDE DE ARROIO GRANDE/RS;Sim
RS;430130;ARROIO GRANDE;;Não
SC;420160;ARROIO TRINTA;SECRETARIA MUNICIPAL DE SAUDE DE ARROIO TRINTA/SC;Sim
SC;420160;ARROIO TRINTA;;Não
SC;420165;ARVOREDO;SECRETARIA MUNICIPAL DE SAUDE DE ARVOREDO/SC;Sim
SC;420165;ARVOREDO;;Não
RS;430140;ARVOREZINHA;SECRETARIA MUNICIPAL DE SAUDE DE ARVOREZINHA/RS;Sim
RS;430140;ARVOREZINHA;;Não
SC;420170;ASCURRA;SECRETARIA MUNICIPAL DE SAUDE DE ASCURRA/SC;Sim
SC;420170;ASCURRA;;Não
PR;410190;ASSAI;SECRETARIA MUNICIPAL DE SAUDE DE ASSAI/PR;Sim
PR;410190;ASSAÍ;;Não
PR;410200;ASSIS CHATEAUBRIAND;SECRETARIA MUNICIPAL DE SAUDE DE ASSIS CHATEAUBRIAND/PR;Sim
PR;410200;ASSIS CHATEAUBRIAND;;Não
PR;410210;ASTORGA;;Não
PR;410220;ATALAIA;;Não
SC;420180;ATALANTA;SECRETARIA MUNICIPAL DE SAUDE DE ATALANTA/SC;Sim
SC;420180;ATALANTA;;Não
RS;430150;AUGUSTO PESTANA;SECRETARIA MUNICIPAL DE SAUDE DE AUGUSTO PESTANA/RS;Sim
RS;430150;AUGUSTO PESTANA;;Não
RS;430155;AUREA;SECRETARIA MUNICIPAL DE SAUDE DE AUREA/RS;Sim
RS;430155;ÁUREA;;Não
SC;420190;AURORA;SECRETARIA MUNICIPAL DE SAUDE DE AURORA/SC;Sim
SC;420190;AURORA;;Não
RS;430160;BAGE;SECRETARIA MUNICIPAL DE SAUDE DE BAGE/RS;Sim
RS;430160;BAGÉ;;Não
SC;420195;BALNEARIO ARROIO DO SILVA;SECRETARIA MUNICIPAL DE SAUDE DE BALNEARIO ARROIO DO SILVA/SC;Sim
SC;420195;BALNEÁRIO ARROIO DO SILVA;;Não
SC;420205;BALNEARIO BARRA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE BALNEARIO BARRA DO SUL/SC;Sim
SC;420205;BALNEÁRIO BARRA DO SUL;;Não
SC;420200;BALNEARIO CAMBORIU;SECRETARIA MUNICIPAL DE SAUDE DE BALNEARIO CAMBORIU/SC;Sim
SC;420200;BALNEÁRIO CAMBORIÚ;;Não
SC;420207;BALNEARIO GAIVOTA;SECRETARIA MUNICIPAL DE SAUDE DE BALNEARIO GAIVOTA/SC;Sim
SC;420207;BALNEÁRIO GAIVOTA;;Não
SC;421280;BALNEARIO PICARRAS;SECRETARIA MUNICIPAL DE SAUDE DE PICARRAS/SC;Sim
SC;421280;BALNEÁRIO PIÇARRAS;;Não
RS;430163;BALNEARIO PINHAL;SECRETARIA MUNICIPAL DE SAUDE DE BALNEARIO PINHAL/RS;Sim
RS;430163;BALNEÁRIO PINHAL;;Não
SC;422000;BALNEÁRIO RINCÃO;;Não
PR;410230;BALSA NOVA;SECRETARIA MUNICIPAL DE SAUDE DE BALSA NOVA/PR;Sim
PR;410230;BALSA NOVA;;Não
SC;420208;BANDEIRANTE;SECRETARIA MUNICIPAL DE SAUDE DE BANDEIRANTE/SC;Sim
SC;420208;BANDEIRANTE;;Não
PR;410240;BANDEIRANTES;SECRETARIA MUNICIPAL DE SAUDE DE BANDEIRANTES/PR;Sim
PR;410240;BANDEIRANTES;;Não
RS;430165;BARAO;SECRETARIA MUNICIPAL DE SAUDE DE BARAO/RS;Sim
RS;430165;BARÃO;;Não
RS;430170;BARAO DE COTEGIPE;SECRETARIA MUNICIPAL DE SAUDE DE BARAO DE COTEGIPE/RS;Sim
RS;430170;BARÃO DE COTEGIPE;;Não
RS;430175;BARAO DO TRIUNFO;SECRETARIA MUNICIPAL DE SAUDE DE BARAO DO TRIUNFO/RS;Sim
RS;430175;BARÃO DO TRIUNFO;;Não
PR;410250;BARBOSA FERRAZ;SECRETARIA MUNICIPAL DE SAUDE DE BARBOSA FERRAZ/PR;Sim
PR;410250;BARBOSA FERRAZ;;Não
SC;420209;BARRA BONITA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA BONITA/SC;Sim
SC;420209;BARRA BONITA;;Não
RS;430185;BARRA DO GUARITA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DO GUARITA/RS;Sim
RS;430185;BARRA DO GUARITA;;Não
PR;410270;BARRA DO JACARE;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DO JACARE/PR;Sim
PR;410270;BARRA DO JACARÉ;;Não
RS;430187;BARRA DO QUARAÍ;;Não
RS;430190;BARRA DO RIBEIRO;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DO RIBEIRO/RS;Sim
RS;430190;BARRA DO RIBEIRO;;Não
RS;430192;BARRA DO RIO AZUL;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DO RIO AZUL/RS;Sim
RS;430192;BARRA DO RIO AZUL;;Não
RS;430195;BARRA FUNDA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA FUNDA/RS;Sim
RS;430195;BARRA FUNDA;;Não
SC;420210;BARRA VELHA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA VELHA/SC;Sim
SC;420210;BARRA VELHA;;Não
RS;430180;BARRACAO;SECRETARIA MUNICIPAL DE SAUDE DE BARRACAO/RS;Sim
PR;410260;BARRACAO;SECRETARIA MUNICIPAL DE SAUDE DE BARRACAO/PR;Sim
PR;410260;BARRACÃO;;Não
RS;430180;BARRACÃO;;Não
RS;430200;BARROS CASSAL;SECRETARIA MUNICIPAL DE SAUDE DE BARROS CASSAL/RS;Sim
RS;430200;BARROS CASSAL;;Não
PR;410275;BELA VISTA DA CAROBA;SECRETARIA MUNICIPAL DE SAUDE DE BELA VISTA DO CAROBA/PR;Sim
PR;410275;BELA VISTA DA CAROBA;;Não
PR;410280;BELA VISTA DO PARAISO;SECRETARIA MUNICIPAL DE SAUDE DE BELA VISTA DO PARAISO/PR;Sim
PR;410280;BELA VISTA DO PARAÍSO;;Não
SC;420213;BELA VISTA DO TOLDO;SECRETARIA MUNICIPAL DE SAUDE DE BELA VISTA DO TOLDO/SC;Sim
SC;420213;BELA VISTA DO TOLDO;;Não
SC;420215;BELMONTE;SECRETARIA MUNICIPAL DE SAUDE DE BELMONTE/SC;Sim
SC;420215;BELMONTE;;Não
SC;420220;BENEDITO NOVO;SECRETARIA MUNICIPAL DE SAUDE DE BENEDITO NOVO/SC;Sim
SC;420220;BENEDITO NOVO;;Não
RS;430205;BENJAMIN CONSTANT DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE BENJAMIN CONSTANT DO SUL/RS;Sim
RS;430205;BENJAMIN CONSTANT DO SUL;;Não
RS;430210;BENTO GONCALVES;SECRETARIA MUNICIPAL DE SAUDE DE BENTO GONCALVES/RS;Sim
RS;430210;BENTO GONÇALVES;;Não
SC;420230;BIGUACU;SECRETARIA MUNICIPAL DE SAUDE DE BIGUACU/SC;Sim
SC;420230;BIGUAÇU;;Não
PR;410290;BITURUNA;SECRETARIA MUNICIPAL DE SAUDE DE BITURUNA/PR;Sim
PR;410290;BITURUNA;;Não
SC;420240;BLUMENAU;SECRETARIA MUNICIPAL DE SAUDE DE BLUMENAU/SC;Sim
SC;420240;BLUMENAU;;Não
PR;410300;BOA ESPERANCA;SECRETARIA MUNICIPAL DE SAUDE DE BOA ESPERANCA/PR;Sim
PR;410300;BOA ESPERANÇA;;Não
PR;410302;BOA ESPERANCA DO IGUACU;SECRETARIA MUNICIPAL DE SAUDE DE BOA ESPERANCA DO IGUACU/PR;Sim
PR;410302;BOA ESPERANÇA DO IGUAÇU;;Não
PR;410304;BOA VENTURA DE SAO ROQUE;SECRETARIA MUNICIPAL DE SAUDE DE BOA VENTURA DE SAO ROQUE/PR;Sim
PR;410304;BOA VENTURA DE SÃO ROQUE;;Não
PR;410305;BOA VISTA DA APARECIDA;SECRETARIA MUNICIPAL DE SAUDE DE BOA VISTA DA APARECIDA/PR;Sim
PR;410305;BOA VISTA DA APARECIDA;;Não
RS;430215;BOA VISTA DAS MISSOES;SECRETARIA MUNICIPAL DE SAUDE DE BOA VISTA DAS MISSOES/RS;Sim
RS;430215;BOA VISTA DAS MISSÕES;;Não
RS;430220;BOA VISTA DO BURICA;SECRETARIA MUNICIPAL DE SAUDE DE BOA VISTA DO BURICA/RS;Sim
RS;430220;BOA VISTA DO BURICÁ;;Não
RS;430222;BOA VISTA DO CADEADO;SECRETARIA MUNICIPAL DE SAUDE DE BOA VISTA DO CADEADO/RS;Sim
RS;430222;BOA VISTA DO CADEADO;;Não
RS;430223;BOA VISTA DO INCRA;SECRETARIA MUNICIPAL DE SAUDE DE BOA VISTA DO INCRA/RS;Sim
RS;430223;BOA VISTA DO INCRA;;Não
RS;430225;BOA VISTA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE BOA VISTA DO SUL/RS;Sim
RS;430225;BOA VISTA DO SUL;;Não
SC;420243;BOCAINA DO SUL;;Não
PR;410310;BOCAIUVA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE BOCAIUVA DO SUL/PR;Sim
PR;410310;BOCAIÚVA DO SUL;;Não
SC;420250;BOM JARDIM DA SERRA;SECRETARIA MUNICIPAL DE SAUDE DE BOM JARDIM DA SERRA/SC;Sim
SC;420250;BOM JARDIM DA SERRA;;Não
RS;430230;BOM JESUS;SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS/RS;Sim
SC;420253;BOM JESUS;SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS/SC;Sim
SC;420253;BOM JESUS;;Não
RS;430230;BOM JESUS;;Não
SC;420257;BOM JESUS DO OESTE;SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS DO OESTE/SC;Sim
SC;420257;BOM JESUS DO OESTE;;Não
PR;410315;BOM JESUS DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS DO SUL/PR;Sim
PR;410315;BOM JESUS DO SUL;;Não
RS;430235;BOM PRINCIPIO;SECRETARIA MUNICIPAL DE SAUDE DE BOM PRINCIPIO/RS;Sim
RS;430235;BOM PRINCÍPIO;;Não
RS;430237;BOM PROGRESSO;SECRETARIA MUNICIPAL DE SAUDE DE BOM PROGRESSO/RS;Sim
RS;430237;BOM PROGRESSO;;Não
SC;420260;BOM RETIRO;SECRETARIA MUNICIPAL DE SAUDE DE BOM RETIRO/SC;Sim
SC;420260;BOM RETIRO;;Não
RS;430240;BOM RETIRO DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE BOM RETIRO DO SUL/RS;Sim
RS;430240;BOM RETIRO DO SUL;;Não
PR;410320;BOM SUCESSO;SECRETARIA MUNICIPAL DE SAUDE DE BOM SUCESSO/PR;Sim
PR;410320;BOM SUCESSO;;Não
PR;410322;BOM SUCESSO DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE BOM SUCESSO DO SUL/PR;Sim
PR;410322;BOM SUCESSO DO SUL;;Não
SC;420245;BOMBINHAS;SECRETARIA MUNICIPAL DE SAUDE DE BOMBINHAS/SC;Sim
SC;420245;BOMBINHAS;;Não
RS;430245;BOQUEIRAO DO LEAO;SECRETARIA MUNICIPAL DE SAUDE DE BOQUEIRAO DO LEAO/RS;Sim
RS;430245;BOQUEIRÃO DO LEÃO;;Não
PR;410330;BORRAZOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE BORRAZOPOLIS/PR;Sim
PR;410330;BORRAZÓPOLIS;;Não
RS;430250;BOSSOROCA;SECRETARIA MUNICIPAL DE SAUDE DE BOSSOROCA/RS;Sim
RS;430250;BOSSOROCA;;Não
SC;420270;BOTUVERA;SECRETARIA MUNICIPAL DE SAUDE DE BOTUVERA/SC;Sim
SC;420270;BOTUVERÁ;;Não
RS;430258;BOZANO;SECRETARIA MUNICIPAL DE SAUDE DE BOZANO/RS;Sim
RS;430258;BOZANO;;Não
SC;420280;BRACO DO NORTE;SECRETARIA MUNICIPAL DE SAUDE DE BRACO DO NORTE/SC;Sim
SC;420280;BRAÇO DO NORTE;;Não
SC;420285;BRACO DO TROMBUDO;SECRETARIA MUNICIPAL DE SAUDE DE BRACO DO TROMBUDO/SC;Sim
SC;420285;BRAÇO DO TROMBUDO;;Não
RS;430260;BRAGA;;Não
PR;410335;BRAGANEY;SECRETARIA MUNICIPAL DE SAUDE DE BRAGANEY/PR;Sim
PR;410335;BRAGANEY;;Não
PR;410337;BRASILANDIA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE BRASILANDIA DO SUL/PR;Sim
PR;410337;BRASILÂNDIA DO SUL;;Não
RS;430265;BROCHIER;SECRETARIA MUNICIPAL DE SAUDE DE BROCHIER/RS;Sim
RS;430265;BROCHIER;;Não
SC;420287;BRUNOPOLIS;SECRETARIA MUNICIPAL DE SAUDE DE BRUNOPOLIS/SC;Sim
SC;420287;BRUNÓPOLIS;;Não
SC;420290;BRUSQUE;SECRETARIA MUNICIPAL DE SAUDE DE BRUSQUE/SC;Sim
SC;420290;BRUSQUE;;Não
RS;430270;BUTIA;SECRETARIA MUNICIPAL DE SAUDE DE BUTIA/RS;Sim
RS;430270;BUTIÁ;;Não
SC;420300;CACADOR;SECRETARIA MUNICIPAL DE SAUDE DE CACADOR/SC;Sim
SC;420300;CAÇADOR;;Não
RS;430280;CACAPAVA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE CACAPAVA DO SUL/RS;Sim
RS;430280;CAÇAPAVA DO SUL;;Não
RS;430290;CACEQUI;SECRETARIA MUNICIPAL DE SAUDE DE CACEQUI/RS ;Sim
RS;430290;CACEQUI;;Não
RS;430300;CACHOEIRA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE CACHOEIRA DO SUL/RS;Sim
RS;430300;CACHOEIRA DO SUL;;Não
RS;430310;CACHOEIRINHA;SECRETARIA MUNICIPAL DE SAUDE DE CACHOEIRINHA/RS;Sim
RS;430310;CACHOEIRINHA;;Não
RS;430320;CACIQUE DOBLE;SECRETARIA MUNICIPAL DE SAUDE DE CACIQUE DOBLE/RS;Sim
RS;430320;CACIQUE DOBLE;;Não
PR;410340;CAFEARA;SECRETARIA MUNICIPAL DE SAUDE DE CAFEARA/PR;Sim
PR;410340;CAFEARA;;Não
PR;410345;CAFELANDIA;SECRETARIA MUNICIPAL DE SAUDE DE CAFELANDIA/PR;Sim
PR;410345;CAFELÂNDIA;;Não
PR;410347;CAFEZAL DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE CAFEZAL DO SUL/PR;Sim
PR;410347;CAFEZAL DO SUL;;Não
RS;430330;CAIBATE;SECRETARIA MUNICIPAL DE SAUDE DE CAIBATE/RS;Sim
RS;430330;CAIBATÉ;;Não
SC;420310;CAIBI;SECRETARIA MUNICIPAL DE SAUDE DE CAIBI/SC;Sim
SC;420310;CAIBI;;Não
RS;430340;CAICARA;SECRETARIA MUNICIPAL DE SAUDE DE CAICARA/RS;Sim
RS;430340;CAIÇARA;;Não
PR;410350;CALIFÓRNIA;;Não
SC;420315;CALMON;SECRETARIA MUNICIPAL DE SAUDE DE CALMON/SC;Sim
SC;420315;CALMON;;Não
RS;430350;CAMAQUA;SECRETARIA MUNICIPAL DE SAUDE DE CAMAQUA/RS;Sim
RS;430350;CAMAQUÃ;;Não
RS;430355;CAMARGO;SECRETARIA MUNICIPAL DE SAUDE DE CAMARGO/RS;Sim
RS;430355;CAMARGO;;Não
PR;410360;CAMBARA;SECRETARIA MUNICIPAL DE SAUDE DE CAMBARA/PR;Sim
PR;410360;CAMBARÁ;;Não
RS;430360;CAMBARA DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE CAMBARA DO SUL/RS;Sim
RS;430360;CAMBARÁ DO SUL;;Não
PR;410370;CAMBE;SECRETARIA MUNICIPAL DE SAUDE DE CAMBE/PR;Sim
PR;410370;CAMBÉ;;Não
PR;410380;CAMBIRA;SECRETARIA MUNICIPAL DE SAUDE DE CAMBIRA/PR;Sim
PR;410380;CAMBIRA;;Não
SC;420320;CAMBORIU;SECRETARIA MUNICIPAL DE SAUDE DE CAMBORIU/SC;Sim
SC;420320;CAMBORIÚ;;Não
RS;430367;CAMPESTRE DA SERRA;SECRETARIA MUNICIPAL DE SAUDE DE CAMPESTRE DA SERRA/RS;Sim
RS;430367;CAMPESTRE DA SERRA;;Não
PR;410390;CAMPINA DA LAGOA;SECRETARIA MUNICIPAL DE SAUDE DE CAMPINA DA LAGOA/PR;Sim
PR;410390;CAMPINA DA LAGOA;;Não
RS;430370;CAMPINA DAS MISSOES;SECRETARIA MUNICIPAL DE SAUDE DE CAMPINA DAS MISSOES/RS;Sim
RS;430370;CAMPINA DAS MISSÕES;;Não
PR;410395;CAMPINA DO SIMAO;SECRETARIA MUNICIPAL DE SAUDE DE CAMPINA DO SIMAO/PR;Sim
PR;410395;CAMPINA DO SIMÃO;;Não
PR;410400;CAMPINA GRANDE DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE CAMPINA GRANDE DO SUL/PR;Sim
PR;410400;CAMPINA GRANDE DO SUL;;Não
RS;430380;CAMPINAS DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE CAMPINAS DO SUL/RS;Sim
RS;430380;CAMPINAS DO SUL;;Não
SC;420330;CAMPO ALEGRE;SECRETARIA MUNICIPAL DE SAUDE DE CAMPO ALEGRE/SC;Sim
SC;420330;CAMPO ALEGRE;;Não
SC;420340;CAMPO BELO DO SUL;SECRETARIA MUNICIPAL DE SAUDE DE CAMPO BELO DO SUL/SC;Sim
