UF;IBGE;NOME_MUNICIPIO;ENTIDADE;Adesão;;;;;
PE;260060;ALAGOINHA;SECRETARIA MUNICIPAL DE SAUDE DE ALAGOINHA/PE;Sim;;;;;
PB;250050;ALAGOINHA;;Não;;;;;
PE;260060;ALAGOINHA;;Não;;;;;
PI;220025;ALAGOINHA DO PIAUÍ;;Não;;;;;
BA;290070;ALAGOINHAS;SECRETARIA MUNICIPAL DE SAUDE DE ALAGOINHAS/BA;Sim;;;;;
BA;290070;ALAGOINHAS;;Não;;;;;
MA;210020;ALCANTARA;SECRETARIA MUNICIPAL DE SAUDE DE ALCANTARA/MA;Sim;;;;;
MA;210020;ALCÂNTARA;;Não;;;;;
CE;230050;ALCANTARAS;SECRETARIA MUNICIPAL DE SAUDE DE ALCANTARAS/CE;Sim;;;;;
CE;230050;ALCÂNTARAS;;Não;;;;;
PB;250053;ALCANTIL;SECRETARIA MUNICIPAL DE SAUDE ALCANTIL/PB;Sim;;;;;
PB;250053;ALCANTIL;;Não;;;;;
BA;290080;ALCOBAÇA;;Não;;;;;
MA;210030;ALDEIAS ALTAS;;Não;;;;;
PI;220027;ALEGRETE DO PIAUÍ;;Não;;;;;
RN;240050;ALEXANDRIA;SECRETARIA MUNICIPAL DE SAUDE DE ALEXANDRIA/RN;Sim;;;;;
RN;240050;ALEXANDRIA;;Não;;;;;
PB;250057;ALGODAO DE JANDAIRA;SECRETARIA MUNICIPAL DE SAUDE ALGODAO DE JANDAIRA/PB;Sim;;;;;
PB;250057;ALGODÃO DE JANDAÍRA;;Não;;;;;
PB;250060;ALHANDRA;SECRETARIA MUNICIPAL DE SAUDE ALHANDRA/PB;Sim;;;;;
PB;250060;ALHANDRA;;Não;;;;;
PE;260070;ALIANCA;SECRETARIA MUNICIPAL DE SAUDE DE ALIANCA/PE;Sim;;;;;
PE;260070;ALIANÇA;;Não;;;;;
BA;290090;ALMADINA;;Não;;;;;
RN;240060;ALMINO AFONSO;;Não;;;;;
MA;210040;ALTAMIRA DO MARANHÃO;;Não;;;;;
CE;230060;ALTANEIRA;SECRETARIA MUNICIPAL DE SAUDE DE ALTANEIRA/CE;Sim;;;;;
CE;230060;ALTANEIRA;;Não;;;;;
PE;260080;ALTINHO;SECRETARIA MUNICIPAL DE SAUDE DE ALTINHO/PE;Sim;;;;;
PE;260080;ALTINHO;;Não;;;;;
MA;210043;ALTO ALEGRE DO MARANHÃO;;Não;;;;;
MA;210047;ALTO ALEGRE DO PINDARE;SECRETARIA MUNICIPAL DE SAUDE DE ALTO ALEGRE DO PINDARE/MA;Sim;;;;;
MA;210047;ALTO ALEGRE DO PINDARÉ;;Não;;;;;
RN;240070;ALTO DO RODRIGUES;;Não;;;;;
PI;220030;ALTO LONGÁ;;Não;;;;;
MA;210050;ALTO PARNAÍBA;;Não;;;;;
CE;230070;ALTO SANTO;SECRETARIA MUNICIPAL DE SAUDE DE ALTO SANTO/CE;Sim;;;;;
CE;230070;ALTO SANTO;;Não;;;;;
PI;220040;ALTOS;;Não;;;;;
PI;220045;ALVORADA DO GURGUÉIA;;Não;;;;;
MA;210055;AMAPÁ DO MARANHÃO;;Não;;;;;
PE;260090;AMARAJI;;Não;;;;;
PI;220050;AMARANTE;;Não;;;;;
MA;210060;AMARANTE DO MARANHAO;SECRETARIA MUNICIPAL DE SAUDE DE AMARANTE DO MARANHAO/MA;Sim;;;;;
MA;210060;AMARANTE DO MARANHÃO;;Não;;;;;
BA;290100;AMARGOSA;SECRETARIA MUNICIPAL DE SAUDE DE AMARGOSA/BA;Sim;;;;;
BA;290100;AMARGOSA;;Não;;;;;
BA;290110;AMELIA RODRIGUES;SECRETARIA MUNICIPAL DE SAUDE DE AMELIA RODRIGUES/BA;Sim;;;;;
BA;290110;AMÉLIA RODRIGUES;;Não;;;;;
BA;290115;AMERICA DOURADA;SECRETARIA MUNICIPAL DE SAUDE DE AMERICA DOURADA/BA;Sim;;;;;
BA;290115;AMÉRICA DOURADA;;Não;;;;;
CE;230075;AMONTADA;SECRETARIA MUNICIPAL DE SAUDE DE AMONTADA/CE;Sim;;;;;
CE;230075;AMONTADA;;Não;;;;;
PB;250073;AMPARO;;Não;;;;;
AL;270020;ANADIA;;Não;;;;;
BA;290120;ANAGE;SECRETARIA MUNICIPAL DE SAUDE DE ANAGE/BA;Sim;;;;;
BA;290120;ANAGÉ;;Não;;;;;
MA;210070;ANAJATUBA;SECRETARIA MUNICIPAL DE SAUDE DE ANAJATUBA/MA;Sim;;;;;
MA;210070;ANAJATUBA;;Não;;;;;
MA;210080;ANAPURUS;SECRETARIA MUNICIPAL DE SAUDE DE ANAPURUS/MA;Sim;;;;;
MA;210080;ANAPURUS;;Não;;;;;
BA;290130;ANDARAI;SECRETARIA MUNICIPAL DE SAUDE DE ANDARAI/BA;Sim;;;;;
BA;290130;ANDARAÍ;;Não;;;;;
BA;290135;ANDORINHA;SECRETARIA MUNICIPAL DE SAUDE DE ANDORINHA/BA;Sim;;;;;
BA;290135;ANDORINHA;;Não;;;;;
PE;260100;ANGELIM;;Não;;;;;
BA;290140;ANGICAL;SECRETARIA MUNICIPAL DE SAUDE DE ANGICAL/BA;Sim;;;;;
BA;290140;ANGICAL;;Não;;;;;
PI;220060;ANGICAL DO PIAUÍ;;Não;;;;;
RN;240080;ANGICOS;;Não;;;;;
BA;290150;ANGUERA;SECRETARIA MUNICIPAL DE SAUDE DE ANGUERA/BA;Sim;;;;;
BA;290150;ANGUERA;;Não;;;;;
PI;220070;ANÍSIO DE ABREU;;Não;;;;;
BA;290160;ANTAS;SECRETARIA MUNICIPAL DE SAUDE DE ANTAS/BA;Sim;;;;;
BA;290160;ANTAS;;Não;;;;;
CE;230080;ANTONINA DO NORTE;SECRETARIA MUNICIPAL DE SAUDE DE ANTONINA DO NORTE/CE;Sim;;;;;
CE;230080;ANTONINA DO NORTE;;Não;;;;;
PI;220080;ANTÔNIO ALMEIDA;;Não;;;;;
BA;290170;ANTONIO CARDOSO;SECRETARIA MUNICIPAL DE SAUDE DE ANTONIO CARDOSO/BA;Sim;;;;;
BA;290170;ANTÔNIO CARDOSO;;Não;;;;;
BA;290180;ANTONIO GONCALVES;SECRETARIA MUNICIPAL DE SAUDE DE ANTONIO GONCALVES/BA;Sim;;;;;
BA;290180;ANTÔNIO GONÇALVES;;Não;;;;;
RN;240090;ANTÔNIO MARTINS;;Não;;;;;
PB;250077;APARECIDA;;Não;;;;;
MA;210083;APICUM-ACU;SECRETARIA MUNICIPAL DE SAUDE DE APICUM-ACU/MA;Sim;;;;;
MA;210083;APICUM-AÇU;;Não;;;;;
RN;240100;APODI;;Não;;;;;
BA;290190;APORA;SECRETARIA MUNICIPAL DE SAUDE DE APORA/BA;Sim;;;;;
BA;290190;APORÁ;;Não;;;;;
BA;290195;APUAREMA;SECRETARIA MUNICIPAL DE SAUDE DE APUAREMA/BA;Sim;;;;;
BA;290195;APUAREMA;;Não;;;;;
CE;230090;APUIARES;SECRETARIA MUNICIPAL DE SAUDE DE APUIARES/CE;Sim;;;;;
CE;230090;APUIARÉS;;Não;;;;;
CE;230100;AQUIRAZ;SECRETARIA MUNICIPAL DE SAUDE DE AQUIRAZ/CE;Sim;;;;;
CE;230100;AQUIRAZ;;Não;;;;;
PB;250080;ARACAGI;SECRETARIA MUNICIPAL DE SAUDE DE ARACAGI/PB;Sim;;;;;
PB;250080;ARAÇAGI;;Não;;;;;
BA;290205;ARACAS;SECRETARIA MUNICIPAL DE SAUDE DE ARACAS/BA;Sim;;;;;
BA;290205;ARAÇAS;;Não;;;;;
CE;230110;ARACATI;;Não;;;;;
BA;290200;ARACATU;SECRETARIA MUNICIPAL DE SAUDE DE ARACATU/BA;Sim;;;;;
BA;290200;ARACATU;;Não;;;;;
BA;290210;ARACI;SECRETARIA MUNICIPAL DE SAUDE DE ARACI/BA;Sim;;;;;
BA;290210;ARACI;;Não;;;;;
PE;260105;ARACOIABA;SECRETARIA MUNICIPAL DE SAUDE DE ARACOIABA/PE;Sim;;;;;
CE;230120;ARACOIABA;SECRETARIA MUNICIPAL DE SAUDE DE ARACOIABA/CE;Sim;;;;;
CE;230120;ARACOIABA;;Não;;;;;
PE;260105;ARAÇOIABA;;Não;;;;;
MA;210087;ARAGUANA;SECRETARIA MUNICIPAL DE SAUDE DE ARAGUANA/MA;Sim;;;;;
MA;210087;ARAGUANÃ;;Não;;;;;
MA;210090;ARAIOSES;;Não;;;;;
BA;290220;ARAMARI;SECRETARIA MUNICIPAL DE SAUDE DE ARAMARI/BA;Sim;;;;;
BA;290220;ARAMARI;;Não;;;;;
MA;210095;ARAME;SECRETARIA MUNICIPAL DE SAUDE DE ARAME/MA;Sim;;;;;
MA;210095;ARAME;;Não;;;;;
AL;270030;ARAPIRACA;SECRETARIA MUNICIPAL DE SAUDE DE ARAPIRACA/AL;Sim;;;;;
AL;270030;ARAPIRACA;;Não;;;;;
PB;250090;ARARA;SECRETARIA MUNICIPAL DE SAUDE DE ARARA;Sim;;;;;
PB;250090;ARARA;;Não;;;;;
CE;230125;ARARENDA;SECRETARIA MUNICIPAL DE SAUDE DE ARARENDA/CE;Sim;;;;;
CE;230125;ARARENDÁ;;Não;;;;;
MA;210100;ARARI;SECRETARIA MUNICIPAL DE SAUDE DE ARARI/MA;Sim;;;;;
MA;210100;ARARI;;Não;;;;;
CE;230130;ARARIPE;SECRETARIA MUNICIPAL DE SAUDE DE ARARIPE/CE;Sim;;;;;
CE;230130;ARARIPE;;Não;;;;;
PE;260110;ARARIPINA;SECRETARIA MUNICIPAL DE SAUDE DE ARARIPINA/PE;Sim;;;;;
PE;260110;ARARIPINA;;Não;;;;;
PB;250100;ARARUNA;SECRETARIA MUNICIPAL DE SAUDE DE ARARUNA/PB;Sim;;;;;
PB;250100;ARARUNA;;Não;;;;;
BA;290225;ARATACA;SECRETARIA MUNICIPAL DE SAUDE DE ARATACA/BA;Sim;;;;;
BA;290225;ARATACA;;Não;;;;;
CE;230140;ARATUBA;SECRETARIA MUNICIPAL DE SAUDE DE ARATUBA/CE;Sim;;;;;
CE;230140;ARATUBA;;Não;;;;;
BA;290230;ARATUIPE;SECRETARIA MUNICIPAL DE SAUDE DE ARATUIPE/BA;Sim;;;;;
BA;290230;ARATUÍPE;;Não;;;;;
PE;260120;ARCOVERDE;SECRETARIA MUNICIPAL DE SAUDE DE ARCOVERDE/PE;Sim;;;;;
PE;260120;ARCOVERDE;;Não;;;;;
PB;250110;AREIA;SECRETARIA MUNICIPAL DE SAUDE AREIA/PB;Sim;;;;;
PB;250110;AREIA;;Não;;;;;
RN;240110;AREIA BRANCA;;Não;;;;;
PB;250115;AREIA DE BARAÚNAS;;Não;;;;;
PB;250120;AREIAL;SECRETARIA MUNICIPAL DE SAUDE DE AREIAL/PB;Sim;;;;;
PB;250120;AREIAL;;Não;;;;;
RN;240120;ARÊS;;Não;;;;;
CE;230150;ARNEIROZ;SECRETARIA MUNICIPAL DE SAUDE DE ARNEIROZ/CE;Sim;;;;;
CE;230150;ARNEIROZ;;Não;;;;;
PI;220090;AROAZES;;Não;;;;;
PB;250130;AROEIRAS;SECRETARIA MUNICIPAL DE SAUDE AROEIRAS/PB;Sim;;;;;
PB;250130;AROEIRAS;;Não;;;;;
PI;220095;AROEIRAS DO ITAIM;;Não;;;;;
PI;220100;ARRAIAL;;Não;;;;;
CE;230160;ASSARE;SECRETARIA MUNICIPAL DE SAUDE DE ASSARE/CE;Sim;;;;;
CE;230160;ASSARÉ;;Não;;;;;
PB;250135;ASSUNCAO;SECRETARIA MUNICIPAL DE SAUDE ASSUNCAO/PB;Sim;;;;;
PB;250135;ASSUNÇÃO;;Não;;;;;
PI;220105;ASSUNÇÃO DO PIAUÍ;;Não;;;;;
AL;270040;ATALAIA;SECRETARIA MUNICIPAL DE SAUDE DE ATALAIA/AL;Sim;;;;;
AL;270040;ATALAIA;;Não;;;;;
BA;290240;AURELINO LEAL;SECRETARIA MUNICIPAL DE SAUDE DE AURELINO LEAL/BA;Sim;;;;;
BA;290240;AURELINO LEAL;;Não;;;;;
CE;230170;AURORA;SECRETARIA MUNICIPAL DE SAUDE DE AURORA/CE;Sim;;;;;
CE;230170;AURORA;;Não;;;;;
PI;220110;AVELINO LOPES;;Não;;;;;
MA;210110;AXIXÁ;;Não;;;;;
MA;210120;BACABAL;SECRETARIA MUNICIPAL DE SAUDE DE BACABAL/MA;Sim;;;;;
MA;210120;BACABAL;;Não;;;;;
MA;210125;BACABEIRA;;Não;;;;;
MA;210130;BACURI;SECRETARIA MUNICIPAL DE SAUDE DE BACURI/MA;Sim;;;;;
MA;210130;BACURI;;Não;;;;;
MA;210135;BACURITUBA;SECRETARIA MUNICIPAL DE SAUDE DE BACURITUBA/MA;Sim;;;;;
MA;210135;BACURITUBA;;Não;;;;;
PB;250140;BAIA DA TRAICAO;SECRETARIA MUNICIPAL DE SAUDE DE BAIA DA TRAICAO/PB;Sim;;;;;
PB;250140;BAÍA DA TRAIÇÃO;;Não;;;;;
RN;240140;BAÍA FORMOSA;;Não;;;;;
BA;290250;BAIANÓPOLIS;;Não;;;;;
BA;290260;BAIXA GRANDE;SECRETARIA MUNICIPAL DE SAUDE DE BAIXA GRANDE/BA;Sim;;;;;
BA;290260;BAIXA GRANDE;;Não;;;;;
PI;220115;BAIXA GRANDE DO RIBEIRO;;Não;;;;;
CE;230180;BAIXIO;SECRETARIA MUNICIPAL DE SAUDE DE BAIXIO/CE;Sim;;;;;
CE;230180;BAIXIO;;Não;;;;;
MA;210140;BALSAS;SECRETARIA MUNICIPAL DE SAUDE DE BALSAS/MA;Sim;;;;;
MA;210140;BALSAS;;Não;;;;;
CE;230185;BANABUIÚ;;Não;;;;;
PB;250150;BANANEIRAS;SECRETARIA MUNICIPAL DE SAUDE BANANEIRAS/PB;Sim;;;;;
PB;250150;BANANEIRAS;;Não;;;;;
BA;290265;BANZAÊ;;Não;;;;;
MA;210150;BARAO DE GRAJAU;SECRETARIA MUNICIPAL DE SAUDE DE BARAO DE GRAJAU/MA;Sim;;;;;
MA;210150;BARÃO DE GRAJAÚ;;Não;;;;;
PB;250153;BARAUNA;SECRETARIA MUNICIPAL DE SAUDE DE BARAUNA/PB;Sim;;;;;
RN;240145;BARAÚNA;;Não;;;;;
PB;250153;BARAÚNA;;Não;;;;;
CE;230190;BARBALHA;SECRETARIA MUNICIPAL DE SAUDE DE BARBALHA/CE;Sim;;;;;
CE;230190;BARBALHA;;Não;;;;;
RN;240150;BARCELONA;;Não;;;;;
BA;290270;BARRA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA/BA;Sim;;;;;
BA;290270;BARRA;;Não;;;;;
BA;290280;BARRA DA ESTIVA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DA ESTIVA/BA;Sim;;;;;
BA;290280;BARRA DA ESTIVA;;Não;;;;;
PI;220117;BARRA D'ALCÂNTARA;;Não;;;;;
PE;260130;BARRA DE GUABIRABA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DE GUABIRABA/PE;Sim;;;;;
PE;260130;BARRA DE GUABIRABA;;Não;;;;;
PB;250160;BARRA DE SANTA ROSA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DE SANTA ROSA/PB;Sim;;;;;
PB;250160;BARRA DE SANTA ROSA;;Não;;;;;
PB;250157;BARRA DE SANTANA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DE SANTANA/PB;Sim;;;;;
PB;250157;BARRA DE SANTANA;;Não;;;;;
AL;270050;BARRA DE SANTO ANTONIO;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DE SANTO ANTONIO/AL;Sim;;;;;
AL;270050;BARRA DE SANTO ANTÔNIO;;Não;;;;;
AL;270060;BARRA DE SAO MIGUEL;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DE SAO MIGUEL/AL;Sim;;;;;
PB;250170;BARRA DE SAO MIGUEL;SECRETARIA MUNICIPAL DE SAUDE BARRA DE SAO MIGUEL/PB;Sim;;;;;
PB;250170;BARRA DE SÃO MIGUEL;;Não;;;;;
AL;270060;BARRA DE SÃO MIGUEL;;Não;;;;;
BA;290290;BARRA DO CHOCA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DO CHOCA/BA;Sim;;;;;
BA;290290;BARRA DO CHOÇA;;Não;;;;;
MA;210160;BARRA DO CORDA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DO CORDA/MA;Sim;;;;;
MA;210160;BARRA DO CORDA;;Não;;;;;
BA;290300;BARRA DO MENDES;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DO MENDES/BA;Sim;;;;;
BA;290300;BARRA DO MENDES;;Não;;;;;
BA;290310;BARRA DO ROCHA;SECRETARIA MUNICIPAL DE SAUDE DE BARRA DO ROCHA/BA;Sim;;;;;
BA;290310;BARRA DO ROCHA;;Não;;;;;
PI;220120;BARRAS;SECRETARIA MUNICIPAL DE SAUDE DE BARRAS/PI;Sim;;;;;
PI;220120;BARRAS;;Não;;;;;
CE;230195;BARREIRA;;Não;;;;;
BA;290320;BARREIRAS;SECRETARIA MUNICIPAL DE SAUDE DE BARREIRAS/BA;Sim;;;;;
BA;290320;BARREIRAS;;Não;;;;;
PI;220130;BARREIRAS DO PIAUÍ;;Não;;;;;
MA;210170;BARREIRINHAS;;Não;;;;;
PE;260140;BARREIROS;;Não;;;;;
CE;230200;BARRO;SECRETARIA MUNICIPAL DE SAUDE DE BARRO/CE;Sim;;;;;
CE;230200;BARRO;;Não;;;;;
BA;290323;BARRO ALTO;SECRETARIA MUNICIPAL DE SAUDE DE BARRO ALTO/BA;Sim;;;;;
BA;290323;BARRO ALTO;;Não;;;;;
PI;220140;BARRO DURO;;Não;;;;;
BA;290330;BARRO PRETO;;Não;;;;;
BA;290327;BARROCAS;;Não;;;;;
CE;230205;BARROQUINHA;;Não;;;;;
AL;270070;BATALHA;SECRETARIA MUNICIPAL DE SAUDE DE BATALHA/AL;Sim;;;;;
PI;220150;BATALHA;;Não;;;;;
AL;270070;BATALHA;;Não;;;;;
CE;230210;BATURITE;SECRETARIA MUNICIPAL DE SAUDE DE BATURITE/CE;Sim;;;;;
CE;230210;BATURITÉ;;Não;;;;;
PB;250180;BAYEUX;;Não;;;;;
CE;230220;BEBERIBE;SECRETARIA MUNICIPAL DE SAUDE DE BEBERIBE/CE;Sim;;;;;
CE;230220;BEBERIBE;;Não;;;;;
CE;230230;BELA CRUZ;SECRETARIA MUNICIPAL DE SAUDE DE BELA CRUZ/CE;Sim;;;;;
CE;230230;BELA CRUZ;;Não;;;;;
MA;210177;BELA VISTA DO MARANHAO;SECRETARIA MUNICIPAL DE SAUDE DE BELA VISTA DO MARANHAO/MA;Sim;;;;;
MA;210177;BELA VISTA DO MARANHÃO;;Não;;;;;
PI;220155;BELA VISTA DO PIAUÍ;;Não;;;;;
MA;210173;BELAGUA;SECRETARIA MUNICIPAL DE SAUDE DE BELAGUA/MA;Sim;;;;;
MA;210173;BELÁGUA;;Não;;;;;
PB;250190;BELEM;SECRETARIA MUNICIPAL DE SAUDE BELEM/PB;Sim;;;;;
PB;250190;BELÉM;;Não;;;;;
AL;270080;BELÉM;;Não;;;;;
PE;260150;BELÉM DE MARIA;;Não;;;;;
PE;260160;BELEM DE SAO FRANCISCO;SECRETARIA MUNICIPAL DE SAUDE DE BELEM DE SAO FRANCISCO/PE;Sim;;;;;
PB;250200;BELEM DO BREJO DO CRUZ;SECRETARIA MUNICIPAL DE SAUDE BELEM DO BREJO DO CRUZ/PB;Sim;;;;;
PB;250200;BELÉM DO BREJO DO CRUZ;;Não;;;;;
PI;220157;BELÉM DO PIAUÍ;;Não;;;;;
PE;260160;BELÉM DO SÃO FRANCISCO;;Não;;;;;
BA;290340;BELMONTE;SECRETARIA MUNICIPAL DE SAUDE DE BELMONTE/BA;Sim;;;;;
BA;290340;BELMONTE;;Não;;;;;
BA;290350;BELO CAMPO;SECRETARIA MUNICIPAL DE SAUDE DE BELO CAMPO/BA;Sim;;;;;
BA;290350;BELO CAMPO;;Não;;;;;
PE;260170;BELO JARDIM;SECRETARIA MUNICIPAL DE SAUDE DE BELO JARDIM/PE;Sim;;;;;
PE;260170;BELO JARDIM;;Não;;;;;
AL;270090;BELO MONTE;SECRETARIA MUNICIPAL DE SAUDE DE BELO MONTE/AL;Sim;;;;;
AL;270090;BELO MONTE;;Não;;;;;
PI;220160;BENEDITINOS;;Não;;;;;
MA;210180;BENEDITO LEITE;SECRETARIA MUNICIPAL DE SAUDE DE BENEDITO LEITE/MA;Sim;;;;;
MA;210180;BENEDITO LEITE;;Não;;;;;
RN;240160;BENTO FERNANDES;;Não;;;;;
MA;210190;BEQUIMAO;SECRETARIA MUNICIPAL DE SAUDE DE BEQUIMAO/MA;Sim;;;;;
MA;210190;BEQUIMÃO;;Não;;;;;
PB;250205;BERNARDINO BATISTA;SECRETARIA MUNICIPAL DE SAUDE DE BERNARDINO BATISTA/PB;Sim;;;;;
PB;250205;BERNARDINO BATISTA;;Não;;;;;
MA;210193;BERNARDO DO MEARIM;SECRETARIA MUNICIPAL DE SAUDE DE BERNARDO DO MEARIM/MA;Sim;;;;;
MA;210193;BERNARDO DO MEARIM;;Não;;;;;
PI;220170;BERTOLÍNIA;;Não;;;;;
PE;260180;BETANIA;SECRETARIA MUNICIPAL DE SAUDE DE BETANIA/PE;Sim;;;;;
PE;260180;BETÂNIA;;Não;;;;;
PI;220173;BETÂNIA DO PIAUÍ;;Não;;;;;
PE;260190;BEZERROS;SECRETARIA MUNICIPAL DE SAUDE DE BEZERROS/PE;Sim;;;;;
PE;260190;BEZERROS;;Não;;;;;
BA;290360;BIRITINGA;;Não;;;;;
PI;220177;BOA HORA;;Não;;;;;
BA;290370;BOA NOVA;SECRETARIA MUNICIPAL DE SAUDE DE BOA NOVA/BA;Sim;;;;;
BA;290370;BOA NOVA;;Não;;;;;
RN;240530;BOA SAÚDE;;Não;;;;;
PB;250210;BOA VENTURA;SECRETARIA MUNICIPAL DE SAUDE BOA VENTURA/PB;Sim;;;;;
PB;250210;BOA VENTURA;;Não;;;;;
CE;230240;BOA VIAGEM;SECRETARIA MUNICIPAL DE SAUDE DE BOA VIAGEM/CE;Sim;;;;;
CE;230240;BOA VIAGEM;;Não;;;;;
PB;250215;BOA VISTA;SECRETARIA MUNICIPAL DE SAUDE DE BOA VISTA/PB;Sim;;;;;
PB;250215;BOA VISTA;;Não;;;;;
MA;210197;BOA VISTA DO GURUPI;;Não;;;;;
BA;290380;BOA VISTA DO TUPIM;SECRETARIA MUNICIPAL DE SAUDE DE BOA VISTA DO TUPIM/BA;Sim;;;;;
BA;290380;BOA VISTA DO TUPIM;;Não;;;;;
AL;270100;BOCA DA MATA;SECRETARIA MUNICIPAL DE SAUDE DE BOCA DA MATA/AL;Sim;;;;;
AL;270100;BOCA DA MATA;;Não;;;;;
PI;220180;BOCAINA;;Não;;;;;
RN;240165;BODÓ;;Não;;;;;
PE;260200;BODOCO;SECRETARIA MUNICIPAL DE SAUDE DE BODOCO/PE;Sim;;;;;
PE;260200;BODOCÓ;;Não;;;;;
PE;260210;BOM CONSELHO;;Não;;;;;
PE;260220;BOM JARDIM;SECRETARIA MUNICIPAL DE SAUDE DE BOM JARDIM/PE;Sim;;;;;
MA;210200;BOM JARDIM;;Não;;;;;
PE;260220;BOM JARDIM;;Não;;;;;
PB;250220;BOM JESUS;SECRETARIA MUNICIPAL DE SAUDE BOM JESUS/PB;Sim;;;;;
PI;220190;BOM JESUS;SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS/PI;Sim;;;;;
PI;220190;BOM JESUS;;Não;;;;;
RN;240170;BOM JESUS;;Não;;;;;
PB;250220;BOM JESUS;;Não;;;;;
BA;290390;BOM JESUS DA LAPA;SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS DA LAPA/BA;Sim;;;;;
BA;290390;BOM JESUS DA LAPA;;Não;;;;;
BA;290395;BOM JESUS DA SERRA;SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS DA SERRA/BA;Sim;;;;;
BA;290395;BOM JESUS DA SERRA;;Não;;;;;
